N사_플레이스 저장 체크,검색어,매칭값,플레이스명,메모,등록일,07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,
-----,성수점심,https://m.place.naver.com/restaurant/1406405043/home,백옥 성수,,2024-07-15 15:16:52,500+,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N사_플레이스 저장 체크,검색어,매칭값,플레이스명,메모,등록일,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-----,성수한식,https://m.place.naver.com/restaurant/1406405043/home,,,2024-07-15 15:16:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-----,용산역맛집,https://m.place.naver.com/restaurant/1810277002/home?entry=pll,몽탄,,2024-05-27 16:46:25,"315,000+","312,000+","311,000+","309,000+","309,000+","308,000+","306,000+","305,000+",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N사_플레이스 저장 체크,검색어,매칭값,플레이스명,메모,등록일,07-15,07-08,07-01,06-24,06-17,06-10,06-03,05-27,,,,,,,,,,,,,,,,,,,,
-----,용산역맛집,https://m.place.naver.com/restaurant/1565282758/home?entry=pll,미미옥 신용산점,,2024-05-27 16:46:14,"112,000+","111,000+","111,000+","110,000+","109,000+","109,000+","108,000+","107,000+",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N사_플레이스 저장 체크,검색어,매칭값,플레이스명,메모,등록일,07-15,07-08,07-01,06-24,06-17,06-10,06-03,05-27,,,,,,,,,,,,,,,,,,,,
-----,용산역맛집,https://m.place.naver.com/restaurant/1813533684/home?entry=pll,효뜨,,2024-05-27 16:45:54,"151,000+","149,000+","149,000+","147,000+","147,000+","146,000+","145,000+","145,000+",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N사_플레이스 저장 체크,검색어,매칭값,플레이스명,메모,등록일,07-15,07-08,07-01,06-24,06-17,06-10,06-03,05-27,05-20,05-13,05-10,,,,,,,,,,,,,,,,,
-----,신논현역맛집,https://m.place.naver.com/restaurant/1621579753/home?entry=pll,바리에가타 신논현,,2024-05-10 09:48:57,"28,000+","27,000+","26,000+","26,000+","25,000+","25,000+","24,000+","24,000+","23,000+","22,000+","22,000+",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N사_플레이스 저장 체크,검색어,매칭값,플레이스명,메모,등록일,07-15,07-08,07-01,06-24,06-17,06-10,06-03,05-27,05-20,05-13,05-10,,,,,,,,,,,,,,,,,
-----,신논현역맛집,https://m.place.naver.com/restaurant/1478381424/home?entry=pll,정월,,2024-05-10 09:48:41,"61,000+","60,000+","60,000+","60,000+","60,000+","59,000+","59,000+","59,000+","58,000+","58,000+","58,000+",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N사_플레이스 저장 체크,검색어,매칭값,플레이스명,메모,등록일,07-15,07-08,07-01,06-24,06-17,06-10,06-03,05-27,05-20,05-13,05-10,,,,,,,,,,,,,,,,,
-----,신논현맛집,https://m.place.naver.com/restaurant/36250128/home?entry=pll,마초쉐프 강남본점,,2024-05-10 09:46:56,"86,000+","86,000+","86,000+","86,000+","86,000+","86,000+","85,000+","85,000+","85,000+","83,000+","83,000+",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N사_플레이스 저장 체크,검색어,매칭값,플레이스명,메모,등록일,07-15,07-08,07-01,06-24,06-17,06-10,06-03,05-27,05-20,05-13,05-10,,,,,,,,,,,,,,,,,
-----,신논현맛집,https://m.place.naver.com/restaurant/661051254/home?entry=pll,어거스트 힐 강남점,,2024-05-10 09:46:32,"72,000+","69,000+","68,000+","67,000+","67,000+","67,000+","67,000+","67,000+","67,000+","67,000+","66,000+",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N사_플레이스 저장 체크,검색어,매칭값,플레이스명,메모,등록일,07-15,07-08,07-01,06-24,06-17,06-10,06-03,05-27,05-20,05-13,05-10,,,,,,,,,,,,,,,,,
-----,신논현맛집,https://m.place.naver.com/restaurant/1124870307/home?entry=pll,미엔아이 천등,,2024-05-10 09:45:04,"37,000+","37,000+","37,000+","35,000+","35,000+","35,000+","33,000+","32,000+","31,000+","31,000+","31,000+",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N사_플레이스 저장 체크,검색어,매칭값,플레이스명,메모,등록일,07-15,07-08,07-01,06-24,06-17,06-10,06-03,05-27,05-20,05-13,05-10,,,,,,,,,,,,,,,,,
-----,신논현맛집,https://m.place.naver.com/restaurant/1074002248/home?entry=pll,구구당,,2024-05-10 09:43:41,"112,000+","110,000+","110,000+","109,000+","109,000+","109,000+","108,000+","107,000+","107,000+","106,000+","106,000+",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N사_플레이스 저장 체크,검색어,매칭값,플레이스명,메모,등록일,07-15,07-08,07-01,06-24,06-17,06-10,06-03,05-27,05-20,05-13,05-07,,,,,,,,,,,,,,,,,
-----,남양주맛집,https://m.place.naver.com/restaurant/19862030/home?entry=pll,아르페지오,,2024-05-07 14:54:52,"78,000+","76,000+","75,000+","74,000+","74,000+","73,000+","71,000+","69,000+","68,000+","66,000+","65,000+",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N사_플레이스 저장 체크,검색어,매칭값,플레이스명,메모,등록일,07-15,07-08,07-01,06-24,06-17,06-10,06-03,05-27,05-20,05-13,05-06,04-29,04-22,04-15,04-13,,,,,,,,,,,,,
